index,text,location
0,"RT @JustinWolfers: Trump's campaign manager who has been charged with assault will be defendend by a lawyer who resigned as US attorney aft…","Pueblo West - Colo."
1,"RT @HVACPROFESSOR1: @immigrant4trump @Lori_Tofani absolutely wonderful and shows Trump in a true light. Media can't touch this one. Vote Tr…","United States"
2,"RT @AndyGrewal: Cruz: You've given Trump $2B of free media. AC: I've asked you for interviews every day on my show and you've declined.…","New Hampshire - USA"
3,"RT @AndyGrewal: Cruz: You've given Trump $2B of free media. AC: I've asked you for interviews every day on my show and you've declined.…","New Hampshire - USA"
4,"RT @rumpfshaker: Trump is now accusing Cruz of illegally coordinating with a SuperPAC. File a complaint with the SEC or shut the F up. #GOP…","A broad - sunlit upland."
5,"RT @ABCPolitics: Trump campaign says manager Corey Lewandowski is absolutely innocent of battery charge. -@JTSantucci https://t.co/LFkjIH…","Los Angeles - CA"
6,"RT @rumpfshaker: Trump is now accusing Cruz of illegally coordinating with a SuperPAC. File a complaint with the SEC or shut the F up. #GOP…","A broad - sunlit upland."
7,"RT @ditzkoff: COOPER: “You’re running for president of the United States.” TRUMP: “I didn’t start it.” COOPER: That’s the argument of a 5-y…","Maryland"
8,"RT @MrJoshPerry: Donald Trump continues to lie about an ad from a Super PAC that @tedcruz HAD NOTHING TO DO WITH. Cruz even condemned it!…","Tennessee - USA"
9,"RT @MrJoshPerry: Donald Trump continues to lie about an ad from a Super PAC that @tedcruz HAD NOTHING TO DO WITH. Cruz even condemned it!…","Tennessee - USA"
10,"RT @maxlydic: Give it to them @realDonaldTrump . Trump is backing Cory 150% and he would do the same for us! Trump Rally https://t.co/JNPOO…","USA"
11,"RT @Trumpbart: BREAKING: TRUMPBART NEWS HAS OBTAINED AN EXCLUSIVE PHOTO OF MICHELLE FIELDS APPROACHING TRUMP FOR QUESTIONING https://t.co/E…","Dallas Texas"
12,"RT @maxlydic: Give it to them @realDonaldTrump . Trump is backing Cory 150% and he would do the same for us! Trump Rally https://t.co/JNPOO…","USA"
13,"RT @Trumpbart: BREAKING: TRUMPBART NEWS HAS OBTAINED AN EXCLUSIVE PHOTO OF MICHELLE FIELDS APPROACHING TRUMP FOR QUESTIONING https://t.co/E…","Dallas Texas"
14,"RT @cthulhu4america: The solution to global problems is to take over the globe. Trump doesn't even have a plan. #GOPTownHall https://t.co/j…","AZ"
15,"RT @daveweigel: “I can’t believe Trump is getting away with these obvious lies” say people who apparently just discovered politics 20 minut…","Lagging Behind"
16,"@jojoh888 Cruz is dangerous he was 4 the refugees but when Trump was against them and winning with the people he changed flipped Flop.","America Land Of The Free"
17,"RT @daveweigel: “I can’t believe Trump is getting away with these obvious lies” say people who apparently just discovered politics 20 minut…","Lagging Behind"
18,"@jojoh888 Cruz is dangerous he was 4 the refugees but when Trump was against them and winning with the people he changed flipped Flop.","America Land Of The Free"
