index,text,location
0,"RT @jbendery: Trump has done more than a dozen TV interviews without a single question about his top aide assaulting a reporter https://t.c¡­","Brevard NC"
1,"RT @WDFx2EU: RT of @SheriffClarke @JohnKasich is anti gun and anti cop and people say Trump is not conservative? Seriously? https://t.co/Hs¡­","Nowhere You Want To Be @ 3 AM"
2,"RT @rorycooper: Trump will indeed unify many conservatives &amp; Republicans who haven't agreed on much lately but agree on #NeverTrump https:¡­","Conservative. Feminist."
3,"RT @NvrSurrender101: @WDFx2EU @georgesoros @HillaryClinton He also controls #Kasich. Everyone in the fight against #Trump is controlled! ht¡­","Western Cordillera"
4,"RT @LisaVikingstad: via Washington Post Bernie Sanders has more youth votes than Donald Trump &amp; Hillary Clinton ¡ª combined #StillSanders ht¡­","Queens - NY"
5,"RT @kkondik: One of the great holes in a lot of these poor whites might go to Trump arguments is that they seem to ignore the growing non¡­","New Hampshire"
6,"RT @PattonDivision: We have had enough with the all out assault on #Trump! #VoteTrump #Pennsylvania #Arizona #Utah #VirginIslands https://¡­","United States"
7,"RT @EsotericCD: If I pondered this longer I could prob find a way to pitch media-assisted rise of Trump as an example of market-failure. Bu¡­","Florida -Toronto - Buffalo"
8,"RT @voxdotcom: Donald Trump is mainstreaming bigoted ideas. That's what makes him so terrifying. https://t.co/tbx3KCiOiN https://t.co/Bajcv¡­","L.A."
9,"RT @davidfrum: 9) Trump being a candidate whom most Republicans elite regard as a Goldwater-style disaster who will drag whole party to def¡­","India"
10,"RT @jimmy_z63: @Callisto1947 @Lrihendry if Trump doesn't have the magic number nothing he can do about it period. 1237 to win 1236 doesn't ¡­","United States"
11,"RT @PJStrikeForce: ???? Time 4 All #USA #Conservative &amp; #Libertarian #Patriots #Unite W/TheLeader #TRUMP #TLOT #TCOT #CCOT #OhHillNo ???? htt¡­","AZ TX www.MedExpertChile.com "
12,"RT @joanwalsh: Donald Trump¡¯s authoritarian shtick: Why we should be paying more attention to his ¡°law and order¡± extremism https://t.co/0N¡­","NM/MN"
13,"RT @HillaryClinton: Hate isn't an American value. Division isn't something to be glorified. We can¡¯t let Trump be our next president. https¡­","Saco - Maine - USA"
14,"RT @savannxhb: i thought the notion of trump becoming president was funny at first but now it's just very very scary. please do not let tha¡­","beautiful earth "
15,"RT @kbriquelet: The Wedding That Explains the Election https://t.co/sFTM0hFT4g. Worth reading @MichaelDalynyc on #Trump supremacy https://t¡­","wisconsin"
16,"RT @mimibra4u: Wendy Williams said Trump is a racist to millions of viewers! Said he should be tarred and feathered. https://t.co/L7cZN8Zi46","NY "
17,"RT @conserv_tribune: California Gov. Gives Voters The Best Incentive YET To Vote For Donald Trump https://t.co/Jwd3IYMjvO #tcot https://t.c¡­","Portland - OR"
18,"RT @HillaryClinton: Hate isn't an American value. Division isn't something to be glorified. We can¡¯t let Trump be our next president. https¡­","Louisiana - USA"
19,"RT @BillMoyersHQ: When the media refuses to take sides against Donald Trump¡¯s extremism they legitimize it writes Neal Gabler https://t.c¡­","Syracuse - NY"
20,"RT @ninamills: You lost your damn mind never Donald Trump #NeverTrump #UniteBlue #TNTweeters #Latinos #TNTvote #ImWithHer https://t.co/kST¡­","houston tx"
21,"RT @immigrant4trump: Greatest SUPPORT VIDEO - The Real Donald Trump #Trump2016 #AlwaysTrump #VoteTrump #AZPrimary #tcot https://t.co/eO3qSr¡­","United States"
22,"RT @CarolHello1: ??????USA ¡ïDonald Trump¡ï USA???? ??????Here Ye! Ted Cruz Lindsey Graham Camps HopOn!???? https://t.co/JeiOeCcBOe #StPatricksDayPar¡­","Austin - Texas"
23,"RT @mitchellvii: My YouTube For Trump Channel will typically be just 5-10 minute videos depending upon what's happening. I'm a fan of brie¡­","Maine - USA"
24,"RT @GarrettHaake: Tonight's Donald Trump news conference has reporters seated behind 16 rows of supporters with no mic to ask Q's https:¡­","Montana - USA"
